Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM4_HiSeq_2_S26_L001_R1_001	53.467278641578105	50.0	26.0	9.090909090909092	52606975.0
fastqc | MantonBM4_HiSeq_2_S26_L002_R1_001	50.35681365977575	50.0	26.0	9.090909090909092	49258338.0
fastqc | MantonBM4_HiSeq_3_S27_L001_R1_001	54.24010964077854	50.0	26.0	9.090909090909092	54583614.0
fastqc | MantonBM4_HiSeq_3_S27_L002_R1_001	51.91309693895457	50.0	26.0	9.090909090909092	52668340.0
fastqc | MantonBM4_HiSeq_4_S28_L001_R1_001	54.7033644850097	50.0	26.0	9.090909090909092	55975346.0
fastqc | MantonBM4_HiSeq_4_S28_L002_R1_001	52.37096435276292	50.0	26.0	9.090909090909092	54265561.0
fastqc | MantonBM4_HiSeq_5_S29_L001_R1_001	54.94747179596929	50.0	26.0	9.090909090909092	59123430.0
fastqc | MantonBM4_HiSeq_5_S29_L002_R1_001	52.136981844478605	50.0	26.0	9.090909090909092	55714634.0
fastqc | MantonBM4_HiSeq_6_S30_L001_R1_001	53.281512892460285	50.0	26.0	9.090909090909092	55213094.0
fastqc | MantonBM4_HiSeq_6_S30_L002_R1_001	50.58652806882441	50.0	26.0	9.090909090909092	52250873.0
fastqc | MantonBM4_HiSeq_7_S31_L001_R1_001	52.97467390765965	50.0	26.0	9.090909090909092	54619995.0
fastqc | MantonBM4_HiSeq_7_S31_L002_R1_001	50.317404513770875	50.0	26.0	9.090909090909092	51935705.0
fastqc | MantonBM4_HiSeq_8_S32_L001_R1_001	54.86626155316483	50.0	26.0	9.090909090909092	61140386.0
fastqc | MantonBM4_HiSeq_8_S32_L002_R1_001	53.09269837550252	50.0	26.0	9.090909090909092	60874972.0
fastqc | MantonBM5_HiSeq_1_S1_L001_R1_001	43.37623540604384	50.0	26.0	0.0	60847839.0
fastqc | MantonBM5_HiSeq_1_S1_L002_R1_001	44.060603503793274	50.0	26.0	0.0	62029625.0
fastqc | MantonBM5_HiSeq_2_S2_L001_R1_001	46.37396880364834	50.0	26.0	0.0	62458294.0
fastqc | MantonBM5_HiSeq_2_S2_L002_R1_001	47.41156114023571	50.0	26.0	0.0	63675382.0
fastqc | MantonBM5_HiSeq_3_S3_L001_R1_001	46.2384365120467	50.0	26.0	0.0	63763052.0
