Sample	Unique Reads	Duplicate Reads
fastqc | SRR9264344_S0_L001_R2_001	98959452.0	231445254.0
fastqc | SRR9264345_S0_L001_R2_001	96112282.0	235997774.0
fastqc | SRR9264346_S0_L001_R2_001	90539877.0	210615648.0
fastqc | SRR9264347_S0_L001_R2_001	253700099.0	57171812.0
fastqc | SRR9264348_S0_L001_R2_001	157188261.0	167362923.0
fastqc | SRR9264349_S0_L001_R2_001	135301559.0	190106512.0
fastqc | SRR9264350_S0_L001_R2_001	120188507.0	204223773.0
fastqc | SRR9264351_S0_L001_R2_001	198868503.0	15696876.0
fastqc | SRR9264352_S0_L001_R2_001	221215501.0	53023003.0
fastqc | SRR9264353_S0_L001_R2_001	111071202.0	202919405.0
fastqc | SRR9264354_S0_L001_R2_001	91541289.0	232717265.0
