Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
fastqc | SRR9264344_S0_L001_R2_001										14.754267053350636	5.894640541940737	12.528094780433555	5.073591280261196	12.60266145195332	4.011343548322576	3.709666243767703																																																																																										
fastqc | SRR9264345_S0_L001_R2_001										12.573979784261807	4.768923825865021	10.020044092924543	4.268644532365232	12.450565852399366	4.728277995928574	12.046733785737192																																																																																										
fastqc | SRR9264346_S0_L001_R2_001										11.613739939716806	4.637897261026253	10.437733287842432	4.301830006967503	11.020716736155203	3.4231620239931537	15.036336367753997																																																																																										
fastqc | SRR9264347_S0_L001_R2_001										3.27754412511481	0.5440774292150058	0.7895696915352399	0.2513609080971853	0.7709666073641769	0.3604322121938075	1.2859593815440475																																																																																										
fastqc | SRR9264348_S0_L001_R2_001										11.795528131688362	3.566731058967031	6.969299765510595	3.182156530588175	8.258470435040204	2.1745199239301587	2.9531386940341564																																																																																										
fastqc | SRR9264349_S0_L001_R2_001										11.50622787054595	3.4220259489938307	7.538251846622759	3.7312230738258525	10.66692199123641	2.8542556006336226	4.913462508448144																																																																																										
fastqc | SRR9264350_S0_L001_R2_001										11.17195768063791	3.538607757955751	7.755499767326332	3.8926013913919215	12.962730789272642	4.9412269928677155	6.374204777401235																																																																																										
fastqc | SRR9264351_S0_L001_R2_001										1.6950376007876584	0.16046702596659684	0.08347727328017825	0.002342115831688881	0.004013299069428098	0.0029208343706278233	0.0																																																																																										
fastqc | SRR9264352_S0_L001_R2_001										3.897955031734108	0.4629821545403404	0.4391041634419889	0.13578493363316435	0.1946584426512106	0.05466209246839964	0.8797447891434509																																																																																										
fastqc | SRR9264353_S0_L001_R2_001										9.461467393351448	3.480404866936709	7.803038016001011	3.633144745960869	9.343566291149711	2.497838464076718	17.501494072038334																																																																																										
fastqc | SRR9264354_S0_L001_R2_001										12.389128064804957	4.577246651563556	9.871469053351138	4.64785375380364	14.300983615841256	6.287885229288916	9.199883784702502																																																																																										
