Sample	Unique Reads	Duplicate Reads
fastqc | MantonBM7_HiSeq_6_S21_L005_R2_001	13828284.0	24639999.0
fastqc | MantonBM7_HiSeq_6_S21_L006_R2_001	15871557.0	30192350.0
fastqc | MantonBM7_HiSeq_7_S22_L005_R2_001	12756705.0	23247349.0
fastqc | MantonBM7_HiSeq_7_S22_L006_R2_001	14505741.0	28478278.0
fastqc | MantonBM7_HiSeq_8_S23_L005_R2_001	14116860.0	27289171.0
fastqc | MantonBM7_HiSeq_8_S23_L006_R2_001	16118046.0	33036982.0
fastqc | MantonBM8_HiSeq_1_S24_L007_R2_001	16448247.0	38163574.0
fastqc | MantonBM8_HiSeq_1_S24_L008_R2_001	15749184.0	35767692.0
fastqc | MantonBM8_HiSeq_2_S25_L007_R2_001	15144418.0	34271800.0
fastqc | MantonBM8_HiSeq_2_S25_L008_R2_001	14353814.0	32182061.0
fastqc | MantonBM8_HiSeq_3_S26_L007_R2_001	14742486.0	34311363.0
fastqc | MantonBM8_HiSeq_3_S26_L008_R2_001	14035039.0	32196656.0
fastqc | MantonBM8_HiSeq_4_S27_L007_R2_001	15652555.0	38077124.0
fastqc | MantonBM8_HiSeq_4_S27_L008_R2_001	14793516.0	35972286.0
fastqc | MantonBM8_HiSeq_5_S28_L007_R2_001	15292492.0	35085802.0
fastqc | MantonBM8_HiSeq_5_S28_L008_R2_001	14529696.0	32982126.0
fastqc | MantonBM8_HiSeq_6_S29_L007_R2_001	15511260.0	36221029.0
fastqc | MantonBM8_HiSeq_6_S29_L008_R2_001	14702654.0	34057646.0
fastqc | MantonBM8_HiSeq_7_S30_L007_R2_001	15165681.0	34638127.0
fastqc | MantonBM8_HiSeq_7_S30_L008_R2_001	14317292.0	32679465.0
fastqc | MantonBM8_HiSeq_8_S31_L007_R2_001	13488900.0	31712636.0
fastqc | MantonBM8_HiSeq_8_S31_L008_R2_001	12851623.0	29772770.0
