Sample	Unique Reads	Duplicate Reads
fastqc | MantonBM1_HiSeq_1_S1_L007_R2_001	18298035.0	31911352.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R2_001	17630522.0	30856432.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R2_001	18502230.0	31148812.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R2_001	17632790.0	29809840.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R2_001	18876203.0	30351740.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R2_001	17903134.0	28787779.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R2_001	20072557.0	33262182.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R2_001	19179403.0	31719373.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R2_001	21124059.0	37200626.0
fastqc | MantonBM1_HiSeq_5_S5_L008_R2_001	20320378.0	35659306.0
fastqc | MantonBM1_HiSeq_6_S6_L007_R2_001	21654640.0	40711245.0
fastqc | MantonBM1_HiSeq_6_S6_L008_R2_001	20909514.0	39302895.0
fastqc | MantonBM1_HiSeq_7_S7_L007_R2_001	21188603.0	39052957.0
fastqc | MantonBM1_HiSeq_7_S7_L008_R2_001	20201949.0	37758252.0
fastqc | MantonBM1_HiSeq_8_S8_L007_R2_001	20824408.0	38736930.0
fastqc | MantonBM1_HiSeq_8_S8_L008_R2_001	20097000.0	37366623.0
fastqc | MantonBM2_HiSeq_1_S9_L005_R2_001	17686288.0	33410090.0
fastqc | MantonBM2_HiSeq_1_S9_L006_R2_001	17135403.0	29787484.0
fastqc | MantonBM2_HiSeq_2_S10_L005_R2_001	19269721.0	38697118.0
fastqc | MantonBM2_HiSeq_2_S10_L006_R2_001	18650733.0	34381401.0
fastqc | MantonBM2_HiSeq_3_S11_L005_R2_001	19226740.0	36747983.0
fastqc | MantonBM2_HiSeq_3_S11_L006_R2_001	18462100.0	32799869.0
fastqc | MantonBM2_HiSeq_4_S12_L005_R2_001	18654846.0	35605567.0
fastqc | MantonBM2_HiSeq_4_S12_L006_R2_001	17827670.0	32171747.0
fastqc | MantonBM2_HiSeq_5_S13_L005_R2_001	19295342.0	40279284.0
fastqc | MantonBM2_HiSeq_5_S13_L006_R2_001	18658327.0	36119427.0
fastqc | MantonBM2_HiSeq_6_S14_L005_R2_001	19469941.0	40004466.0
fastqc | MantonBM2_HiSeq_6_S14_L006_R2_001	18901483.0	35915241.0
fastqc | MantonBM2_HiSeq_7_S15_L005_R2_001	21184740.0	46687888.0
fastqc | MantonBM2_HiSeq_7_S15_L006_R2_001	20668267.0	41770074.0
fastqc | MantonBM2_HiSeq_8_S16_L005_R2_001	17743906.0	36338066.0
fastqc | MantonBM2_HiSeq_8_S16_L006_R2_001	17272028.0	32488288.0
fastqc | MantonBM3_HiSeq_1_S17_L003_R2_001	18909813.0	36108211.0
fastqc | MantonBM3_HiSeq_1_S17_L004_R2_001	18218564.0	33826824.0
fastqc | MantonBM3_HiSeq_2_S18_L003_R2_001	25176543.0	52307077.0
fastqc | MantonBM3_HiSeq_2_S18_L004_R2_001	23990001.0	48488890.0
fastqc | MantonBM3_HiSeq_3_S19_L003_R2_001	19089240.0	35873139.0
fastqc | MantonBM3_HiSeq_3_S19_L004_R2_001	18160718.0	33395114.0
fastqc | MantonBM3_HiSeq_4_S20_L003_R2_001	22692311.0	46272749.0
fastqc | MantonBM3_HiSeq_4_S20_L004_R2_001	21782531.0	43288172.0
fastqc | MantonBM3_HiSeq_5_S21_L003_R2_001	18393376.0	34755415.0
fastqc | MantonBM3_HiSeq_5_S21_L004_R2_001	17614061.0	31994960.0
fastqc | MantonBM3_HiSeq_6_S22_L003_R2_001	18741222.0	35712850.0
fastqc | MantonBM3_HiSeq_6_S22_L004_R2_001	17998690.0	32905601.0
fastqc | MantonBM3_HiSeq_7_S23_L003_R2_001	17862279.0	31414622.0
fastqc | MantonBM3_HiSeq_7_S23_L004_R2_001	16991204.0	28686267.0
fastqc | MantonBM3_HiSeq_8_S24_L003_R2_001	18108203.0	34933210.0
fastqc | MantonBM3_HiSeq_8_S24_L004_R2_001	17278675.0	32770106.0
fastqc | MantonBM4_HiSeq_1_S25_L001_R2_001	19467696.0	42171178.0
fastqc | MantonBM4_HiSeq_1_S25_L002_R2_001	19374042.0	41117170.0
fastqc | MantonBM4_HiSeq_2_S26_L001_R2_001	17524724.0	35082251.0
fastqc | MantonBM4_HiSeq_2_S26_L002_R2_001	16740891.0	32517447.0
fastqc | MantonBM4_HiSeq_3_S27_L001_R2_001	17749690.0	36833924.0
fastqc | MantonBM4_HiSeq_3_S27_L002_R2_001	17334543.0	35333797.0
fastqc | MantonBM4_HiSeq_4_S28_L001_R2_001	18290534.0	37684812.0
fastqc | MantonBM4_HiSeq_4_S28_L002_R2_001	17868922.0	36396639.0
fastqc | MantonBM4_HiSeq_5_S29_L001_R2_001	19053520.0	40069910.0
fastqc | MantonBM4_HiSeq_5_S29_L002_R2_001	18347012.0	37367622.0
fastqc | MantonBM4_HiSeq_6_S30_L001_R2_001	18137729.0	37075365.0
fastqc | MantonBM4_HiSeq_6_S30_L002_R2_001	17529817.0	34721056.0
fastqc | MantonBM4_HiSeq_7_S31_L001_R2_001	17983633.0	36636362.0
fastqc | MantonBM4_HiSeq_7_S31_L002_R2_001	17675276.0	34260429.0
fastqc | MantonBM4_HiSeq_8_S32_L001_R2_001	18847784.0	42292602.0
fastqc | MantonBM4_HiSeq_8_S32_L002_R2_001	18901158.0	41973814.0
fastqc | MantonBM5_HiSeq_1_S1_L001_R2_001	19013745.0	41834094.0
fastqc | MantonBM5_HiSeq_1_S1_L002_R2_001	18661216.0	43368409.0
fastqc | MantonBM5_HiSeq_2_S2_L001_R2_001	19221567.0	43236727.0
fastqc | MantonBM5_HiSeq_2_S2_L002_R2_001	19105651.0	44569731.0
fastqc | MantonBM5_HiSeq_3_S3_L001_R2_001	19713823.0	44049229.0
fastqc | MantonBM5_HiSeq_3_S3_L002_R2_001	19481027.0	45479855.0
fastqc | MantonBM5_HiSeq_4_S4_L001_R2_001	18893344.0	42216127.0
fastqc | MantonBM5_HiSeq_4_S4_L002_R2_001	18582688.0	43620045.0
fastqc | MantonBM5_HiSeq_5_S5_L001_R2_001	19566637.0	43084754.0
fastqc | MantonBM5_HiSeq_5_S5_L002_R2_001	19387438.0	44585380.0
fastqc | MantonBM5_HiSeq_6_S6_L001_R2_001	19023851.0	41848980.0
fastqc | MantonBM5_HiSeq_6_S6_L002_R2_001	18645650.0	43420160.0
fastqc | MantonBM5_HiSeq_7_S7_L001_R2_001	14643326.0	32462129.0
fastqc | MantonBM5_HiSeq_7_S7_L002_R2_001	14379644.0	33390973.0
fastqc | MantonBM5_HiSeq_8_S8_L001_R2_001	17266621.0	38422644.0
fastqc | MantonBM5_HiSeq_8_S8_L002_R2_001	17185626.0	39492702.0
fastqc | MantonBM6_HiSeq_1_S9_L003_R2_001	21764005.0	44896107.0
fastqc | MantonBM6_HiSeq_1_S9_L004_R2_001	22494229.0	44521827.0
fastqc | MantonBM6_HiSeq_2_S10_L003_R2_001	22052034.0	48392062.0
fastqc | MantonBM6_HiSeq_2_S10_L004_R2_001	22257284.0	48560930.0
fastqc | MantonBM6_HiSeq_4_S11_L003_R2_001	20839968.0	46910557.0
fastqc | MantonBM6_HiSeq_4_S11_L004_R2_001	21705867.0	46339600.0
fastqc | MantonBM6_HiSeq_5_S12_L003_R2_001	21489542.0	45741449.0
fastqc | MantonBM6_HiSeq_5_S12_L004_R2_001	21236145.0	46379350.0
fastqc | MantonBM6_HiSeq_6_S13_L003_R2_001	22668457.0	51624090.0
fastqc | MantonBM6_HiSeq_6_S13_L004_R2_001	22724428.0	51929735.0
fastqc | MantonBM6_HiSeq_7_S14_L003_R2_001	21004913.0	45681982.0
fastqc | MantonBM6_HiSeq_7_S14_L004_R2_001	21654996.0	45366742.0
fastqc | MantonBM6_HiSeq_8_S15_L003_R2_001	21864185.0	48469490.0
fastqc | MantonBM6_HiSeq_8_S15_L004_R2_001	21749258.0	48970209.0
fastqc | MantonBM7_HiSeq_1_S16_L005_R2_001	13762361.0	24868085.0
fastqc | MantonBM7_HiSeq_1_S16_L006_R2_001	15584135.0	30304600.0
fastqc | MantonBM7_HiSeq_2_S17_L005_R2_001	14896090.0	28225335.0
fastqc | MantonBM7_HiSeq_2_S17_L006_R2_001	17033977.0	34327838.0
fastqc | MantonBM7_HiSeq_3_S18_L005_R2_001	15153398.0	28552139.0
fastqc | MantonBM7_HiSeq_3_S18_L006_R2_001	17349452.0	34428105.0
fastqc | MantonBM7_HiSeq_4_S19_L005_R2_001	17479047.0	35142377.0
fastqc | MantonBM7_HiSeq_4_S19_L006_R2_001	19775255.0	42347528.0
fastqc | MantonBM7_HiSeq_5_S20_L005_R2_001	13815086.0	26153295.0
fastqc | MantonBM7_HiSeq_5_S20_L006_R2_001	15736990.0	31777253.0
