Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
fastqc | MantonBM1_HiSeq_1_S1_L007_R2_001	63.55654744816874	47.0	98.0	18.181818181818183	50209387.0
fastqc | MantonBM1_HiSeq_1_S1_L008_R2_001	63.63862913820355	47.0	98.0	18.181818181818183	48486954.0
fastqc | MantonBM1_HiSeq_2_S2_L007_R2_001	62.735466418582355	48.0	98.0	18.181818181818183	49651042.0
fastqc | MantonBM1_HiSeq_2_S2_L008_R2_001	62.83344881509547	48.0	98.0	18.181818181818183	47442630.0
fastqc | MantonBM1_HiSeq_3_S3_L007_R2_001	61.65551237598533	48.0	98.0	18.181818181818183	49227943.0
fastqc | MantonBM1_HiSeq_3_S3_L008_R2_001	61.65606433916811	48.0	98.0	18.181818181818183	46690913.0
fastqc | MantonBM1_HiSeq_4_S4_L007_R2_001	62.364949237596186	48.0	98.0	18.181818181818183	53334739.0
fastqc | MantonBM1_HiSeq_4_S4_L008_R2_001	62.31853848116424	48.0	98.0	18.181818181818183	50898776.0
fastqc | MantonBM1_HiSeq_5_S5_L007_R2_001	63.781958719203494	47.0	98.0	18.181818181818183	58324685.0
fastqc | MantonBM1_HiSeq_5_S5_L008_R2_001	63.70044219141559	47.0	98.0	18.181818181818183	55979684.0
fastqc | MantonBM1_HiSeq_6_S6_L007_R2_001	65.2780692327586	47.0	98.0	18.181818181818183	62365885.0
fastqc | MantonBM1_HiSeq_6_S6_L008_R2_001	65.27374616812142	47.0	98.0	18.181818181818183	60212409.0
fastqc | MantonBM1_HiSeq_7_S7_L007_R2_001	64.82726776041685	48.0	98.0	18.181818181818183	60241560.0
fastqc | MantonBM1_HiSeq_7_S7_L008_R2_001	65.1451368735269	47.0	98.0	18.181818181818183	57960201.0
fastqc | MantonBM1_HiSeq_8_S8_L007_R2_001	65.0370380528436	48.0	98.0	18.181818181818183	59561338.0
fastqc | MantonBM1_HiSeq_8_S8_L008_R2_001	65.02657023356508	47.0	98.0	18.181818181818183	57463623.0
fastqc | MantonBM2_HiSeq_1_S9_L005_R2_001	65.38641552588933	48.0	98.0	18.181818181818183	51096378.0
fastqc | MantonBM2_HiSeq_1_S9_L006_R2_001	63.48178055040152	48.0	98.0	18.181818181818183	46922887.0
fastqc | MantonBM2_HiSeq_2_S10_L005_R2_001	66.75733814356909	48.0	98.0	18.181818181818183	57966839.0
fastqc | MantonBM2_HiSeq_2_S10_L006_R2_001	64.83126203315979	47.0	98.0	18.181818181818183	53032134.0
fastqc | MantonBM2_HiSeq_3_S11_L005_R2_001	65.65103175650012	47.0	98.0	18.181818181818183	55974723.0
fastqc | MantonBM2_HiSeq_3_S11_L006_R2_001	63.984802654056836	47.0	98.0	18.181818181818183	51261969.0
fastqc | MantonBM2_HiSeq_4_S12_L005_R2_001	65.6197862694224	48.0	98.0	18.181818181818183	54260413.0
fastqc | MantonBM2_HiSeq_4_S12_L006_R2_001	64.34424571383657	47.0	98.0	18.181818181818183	49999417.0
fastqc | MantonBM2_HiSeq_5_S13_L005_R2_001	67.61147753835681	48.0	98.0	18.181818181818183	59574626.0
fastqc | MantonBM2_HiSeq_5_S13_L006_R2_001	65.93813162101031	48.0	98.0	18.181818181818183	54777754.0
fastqc | MantonBM2_HiSeq_6_S14_L005_R2_001	67.26333011256808	48.0	98.0	18.181818181818183	59474407.0
fastqc | MantonBM2_HiSeq_6_S14_L006_R2_001	65.51876731302875	48.0	98.0	18.181818181818183	54816724.0
fastqc | MantonBM2_HiSeq_7_S15_L005_R2_001	68.7875061780872	48.0	98.0	18.181818181818183	67872628.0
fastqc | MantonBM2_HiSeq_7_S15_L006_R2_001	66.89811700584852	48.0	98.0	18.181818181818183	62438341.0
fastqc | MantonBM2_HiSeq_8_S16_L005_R2_001	67.19072077746935	48.0	98.0	18.181818181818183	54081972.0
fastqc | MantonBM2_HiSeq_8_S16_L006_R2_001	65.28955360928886	48.0	98.0	18.181818181818183	49760316.0
fastqc | MantonBM3_HiSeq_1_S17_L003_R2_001	65.62978644961456	47.0	98.0	27.27272727272727	55018024.0
fastqc | MantonBM3_HiSeq_1_S17_L004_R2_001	64.99485580474752	47.0	98.0	18.181818181818183	52045388.0
fastqc | MantonBM3_HiSeq_2_S18_L003_R2_001	67.50727157911146	47.0	98.0	27.27272727272727	77483620.0
fastqc | MantonBM3_HiSeq_2_S18_L004_R2_001	66.90070730152009	47.0	98.0	18.181818181818183	72478891.0
fastqc | MantonBM3_HiSeq_3_S19_L003_R2_001	65.26853561561683	47.0	98.0	27.27272727272727	54962379.0
fastqc | MantonBM3_HiSeq_3_S19_L004_R2_001	64.7746583354668	47.0	98.0	18.181818181818183	51555832.0
fastqc | MantonBM3_HiSeq_4_S20_L003_R2_001	67.0959310468526	47.0	98.0	27.27272727272727	68965060.0
fastqc | MantonBM3_HiSeq_4_S20_L004_R2_001	66.52482680159079	47.0	98.0	18.181818181818183	65070703.0
fastqc | MantonBM3_HiSeq_5_S21_L003_R2_001	65.3926738058307	47.0	98.0	27.27272727272727	53148791.0
fastqc | MantonBM3_HiSeq_5_S21_L004_R2_001	64.49423807712066	47.0	98.0	18.181818181818183	49609021.0
fastqc | MantonBM3_HiSeq_6_S22_L003_R2_001	65.58343413476038	47.0	98.0	27.27272727272727	54454072.0
fastqc | MantonBM3_HiSeq_6_S22_L004_R2_001	64.64209707471096	47.0	98.0	18.181818181818183	50904291.0
fastqc | MantonBM3_HiSeq_7_S23_L003_R2_001	63.751213365179126	47.0	98.0	27.27272727272727	49276901.0
fastqc | MantonBM3_HiSeq_7_S23_L004_R2_001	62.80178610305239	47.0	98.0	18.181818181818183	45677471.0
fastqc | MantonBM3_HiSeq_8_S24_L003_R2_001	65.8602568787566	47.0	98.0	27.27272727272727	53041413.0
fastqc | MantonBM3_HiSeq_8_S24_L004_R2_001	65.47633247306162	47.0	98.0	18.181818181818183	50048781.0
fastqc | MantonBM4_HiSeq_1_S25_L001_R2_001	68.41652901826987	47.0	98.0	18.181818181818183	61638874.0
fastqc | MantonBM4_HiSeq_1_S25_L002_R2_001	67.9721389723662	47.0	98.0	18.181818181818183	60491212.0
fastqc | MantonBM4_HiSeq_2_S26_L001_R2_001	66.6874520536914	48.0	98.0	18.181818181818183	52606975.0
fastqc | MantonBM4_HiSeq_2_S26_L002_R2_001	66.01409802863427	47.0	98.0	18.181818181818183	49258338.0
fastqc | MantonBM4_HiSeq_3_S27_L001_R2_001	67.48165219445383	48.0	98.0	18.181818181818183	54583614.0
fastqc | MantonBM4_HiSeq_3_S27_L002_R2_001	67.08735658551728	47.0	98.0	18.181818181818183	52668340.0
fastqc | MantonBM4_HiSeq_4_S28_L001_R2_001	67.32394818769617	47.0	98.0	18.181818181818183	55975346.0
fastqc | MantonBM4_HiSeq_4_S28_L002_R2_001	67.07134147632044	47.0	98.0	18.181818181818183	54265561.0
fastqc | MantonBM4_HiSeq_5_S29_L001_R2_001	67.7733181347535	48.0	98.0	18.181818181818183	59123430.0
fastqc | MantonBM4_HiSeq_5_S29_L002_R2_001	67.0696732778711	47.0	98.0	18.181818181818183	55714634.0
fastqc | MantonBM4_HiSeq_6_S30_L001_R2_001	67.14958924040303	48.0	98.0	18.181818181818183	55213094.0
fastqc | MantonBM4_HiSeq_6_S30_L002_R2_001	66.45067291549239	47.0	98.0	18.181818181818183	52250873.0
fastqc | MantonBM4_HiSeq_7_S31_L001_R2_001	67.07500174971324	47.0	98.0	18.181818181818183	54619995.0
fastqc | MantonBM4_HiSeq_7_S31_L002_R2_001	65.96700523108788	47.0	98.0	18.181818181818183	51935705.0
fastqc | MantonBM4_HiSeq_8_S32_L001_R2_001	69.17293947464131	47.0	98.0	18.181818181818183	61140386.0
fastqc | MantonBM4_HiSeq_8_S32_L002_R2_001	68.95085645259647	47.0	98.0	18.181818181818183	60874972.0
fastqc | MantonBM5_HiSeq_1_S1_L001_R2_001	68.75198079850539	48.0	98.0	18.181818181818183	60847839.0
fastqc | MantonBM5_HiSeq_1_S1_L002_R2_001	69.91564022921958	48.0	98.0	9.090909090909092	62029625.0
fastqc | MantonBM5_HiSeq_2_S2_L001_R2_001	69.22495719789943	48.0	98.0	18.181818181818183	62458294.0
fastqc | MantonBM5_HiSeq_2_S2_L002_R2_001	69.99523194930772	48.0	98.0	9.090909090909092	63675382.0
fastqc | MantonBM5_HiSeq_3_S3_L001_R2_001	69.08268695377181	48.0	98.0	18.181818181818183	63763052.0
fastqc | MantonBM5_HiSeq_3_S3_L002_R2_001	70.01114176780979	48.0	98.0	9.090909090909092	64960882.0
fastqc | MantonBM5_HiSeq_4_S4_L001_R2_001	69.08279021064311	48.0	98.0	18.181818181818183	61109471.0
fastqc | MantonBM5_HiSeq_4_S4_L002_R2_001	70.12560851210281	48.0	98.0	9.090909090909092	62202733.0
fastqc | MantonBM5_HiSeq_5_S5_L001_R2_001	68.76903166704967	48.0	98.0	27.27272727272727	62651391.0
fastqc | MantonBM5_HiSeq_5_S5_L002_R2_001	69.69425700444862	48.0	98.0	18.181818181818183	63972818.0
fastqc | MantonBM5_HiSeq_6_S6_L001_R2_001	68.74820728223902	48.0	98.0	18.181818181818183	60872831.0
fastqc | MantonBM5_HiSeq_6_S6_L002_R2_001	69.95825972609413	48.0	98.0	9.090909090909092	62065810.0
fastqc | MantonBM5_HiSeq_7_S7_L001_R2_001	68.91373815417495	47.0	98.0	18.181818181818183	47105455.0
fastqc | MantonBM5_HiSeq_7_S7_L002_R2_001	69.89855978000618	47.0	98.0	9.090909090909092	47770617.0
fastqc | MantonBM5_HiSeq_8_S8_L001_R2_001	68.99470521397868	48.0	98.0	18.181818181818183	55689265.0
fastqc | MantonBM5_HiSeq_8_S8_L002_R2_001	69.67866568711031	48.0	98.0	9.090909090909092	56678328.0
fastqc | MantonBM6_HiSeq_1_S9_L003_R2_001	67.35078320427507	47.0	98.0	9.090909090909092	66660112.0
fastqc | MantonBM6_HiSeq_1_S9_L004_R2_001	66.43456787683493	47.0	98.0	9.090909090909092	67016056.0
fastqc | MantonBM6_HiSeq_2_S10_L003_R2_001	68.69569608454302	47.0	98.0	9.090909090909092	70444096.0
fastqc | MantonBM6_HiSeq_2_S10_L004_R2_001	68.57124456334196	47.0	98.0	9.090909090909092	70818214.0
fastqc | MantonBM6_HiSeq_4_S11_L003_R2_001	69.24013942885342	47.0	98.0	9.090909090909092	67750525.0
fastqc | MantonBM6_HiSeq_4_S11_L004_R2_001	68.10093723569923	47.0	98.0	9.090909090909092	68045467.0
fastqc | MantonBM6_HiSeq_5_S12_L003_R2_001	68.03625716818033	47.0	98.0	9.090909090909092	67230991.0
fastqc | MantonBM6_HiSeq_5_S12_L004_R2_001	68.5927838398883	47.0	98.0	9.090909090909092	67615495.0
fastqc | MantonBM6_HiSeq_6_S13_L003_R2_001	69.48757629062777	47.0	98.0	9.090909090909092	74292547.0
fastqc | MantonBM6_HiSeq_6_S13_L004_R2_001	69.56040206550128	47.0	98.0	9.090909090909092	74654163.0
fastqc | MantonBM6_HiSeq_7_S14_L003_R2_001	68.50218922259106	47.0	98.0	9.090909090909092	66686895.0
fastqc | MantonBM6_HiSeq_7_S14_L004_R2_001	67.68959428771194	47.0	98.0	9.090909090909092	67021738.0
fastqc | MantonBM6_HiSeq_8_S15_L003_R2_001	68.91363238457296	47.0	98.0	9.090909090909092	70333675.0
