Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98
fastqc | MantonBM1_HiSeq_1_S1_L007_R2_001	30.838796279269452	31.04174313062217	34.65242712483226	35.361020121595985	35.512005155529984	38.75200762757769	38.8100476112166	38.942748295254034	38.8813207378931	38.909066256873444	38.88073527964004	38.833718852213835	38.73984973168463	38.62431759025459	38.59211117235907	38.522992822039434	38.54666782727301	38.44158804408427	38.398605503787564	38.347059813735626	38.35773799628345	38.34848358136696	38.25868063276694	38.1956195163267	38.13664872068644	38.063567386313636	38.0114663518995	37.902446299533594	37.77977431789797	37.74594969661749	37.65954900026961	37.60264368493485	37.492290674650135	37.447291499495904	37.35181246088506	37.26052513845668	37.20160498075788	37.09869378608426	37.04198236875507	36.93311992635959	36.902430167092064	36.79651084965447	36.03864100153224	36.84329340646999	36.94647652240805	36.88911686972	36.86542707641502	36.81353472807784	36.73542444364039	36.6504393889533	36.54808162664882	36.47378950274776	36.44159251535973	34.91978876380227
fastqc | MantonBM1_HiSeq_1_S1_L008_R2_001	30.87031983902309	31.03333997841976	34.64963200204327	35.30940926914072	35.49716412377647	38.69509394217669	38.765524907998966	38.88612879249953	38.90091237737887	38.894989124291044	38.88499975684181	38.85890534596172	38.769114285875744	38.70085103716765	38.61269230275839	38.530702784505706	38.551555527699264	38.45167656850542	38.421214848843675	38.41395326668695	38.372292544918366	38.319347416626755	38.29412896301962	38.22333622978255	38.15782967104925	38.11363716516406	38.04717619506476	37.9928679475308	37.84917148022951	37.76046579457228	37.70118114658223	37.66313100426973	37.595475681974165	37.52332582079707	37.456490296338266	37.38290335788055	37.297940452188435	37.25308897523239	37.17835204702692	37.08359484697678	36.983341735593456	36.94795713502646	36.213769738969376	36.9102244286164	37.03294763577023	37.04227268019352	36.95946206478551	36.90725286641021	36.80621473974216	36.812046648671725	36.70453709053367	36.57421260160001	36.54156448969758	35.21731466158918
fastqc | MantonBM1_HiSeq_2_S2_L007_R2_001	30.632658343806764	30.879122214595213	34.33048653842955	35.116182133700235	35.27654992618282	38.439571600531565	38.42755948606275	38.63513112171946	38.53322552626388	38.60715216208352	38.58117642324606	38.516095724637566	38.40799087358529	38.27217733919864	38.218270625619496	38.159830724197086	38.18979475798312	38.06735772030726	38.00406663167311	37.94668577146881	37.97067707058393	37.96562062081195	37.87623508485481	37.805883922838916	37.74447808164832	37.666558085528195	37.60760783227873	37.492368438108514	37.364377841254566	37.325630346287596	37.23713540593972	37.171410279768146	37.05362904569052	37.00547145616803	36.90862521072569	36.81148049219189	36.74535996646354	36.632063764140135	36.57210984615388	36.45980900058452	36.42786001349176	36.313746627915684	35.5438981522281	36.38607067904033	36.49584004702258	36.436262797868366	36.41504415959689	36.35913327861276	36.279973993295044	36.1898863572692	36.08583675847125	36.0081211689374	35.972150503910875	34.40815876532863
fastqc | MantonBM1_HiSeq_2_S2_L008_R2_001	30.651282570127332	30.86563961567898	34.337584362418355	35.058258574619494	35.260827150602736	38.38901551199839	38.380092861630985	38.57469672317913	38.562497273022174	38.587266810461394	38.579742501627756	38.53979995417623	38.435923609209695	38.34877265446708	38.235657888274744	38.164109567703136	38.19106572506625	38.08098186167167	38.02894651919592	38.020794294076865	37.98439694426722	37.94097427777507	37.91638904715021	37.83942028508959	37.765339094818316	37.72046090193567	37.649318039493174	37.59111031576454	37.43741019416504	37.343663251805395	37.28482823359498	37.23928837840567	37.1668324985356	37.08922355274149	37.02211113717768	36.94770548133609	36.85271765077105	36.8061672698162	36.72330965842323	36.62571737696666	36.523476565274734	36.48095322708711	35.729360092389484	36.455601207184344	36.586984121664415	36.601060185744345	36.51518070351496	36.45603548960081	36.35316465381451	36.360779029324476	36.24961848658053	36.114555801396335	36.07602115439216	34.705471007825665
fastqc | MantonBM1_HiSeq_3_S3_L007_R2_001	30.553698110034784	30.81717005725793	34.220577142538744	35.02382216132817	35.20021965979769	38.32743230811005	38.346863264223735	38.50693389727863	38.40814813245396	38.50479922551304	38.46792258819346	38.398890554902934	38.30037157961282	38.14507049380471	38.07803726432364	38.04235253136618	38.075406746123846	37.94602698512103	37.88355648945153	37.820766276990284	37.84787541295398	37.85444413145599	37.76407874690194	37.69131105071768	37.62520002105308	37.5434987502931	37.48764516729858	37.373293751071415	37.24112973804329	37.20068493416432	37.1089776186667	37.041589052380274	36.92304973010958	36.8748761450382	36.77931333633014	36.68373606429178	36.61782403745775	36.50399254951603	36.44079131033365	36.32616715266774	36.29386417791213	36.18106881898356	35.41722083532923	36.26304118577532	36.37031414251861	36.30871194435242	36.28492829773529	36.227133672841056	36.15056396932937	36.05659306138386	35.951781338903395	35.87211696007692	35.83826390024056	34.257892981634434
fastqc | MantonBM1_HiSeq_3_S3_L008_R2_001	30.573861898995208	30.80762012514084	34.23286456189023	34.968979210151666	35.19067406113905	38.28813261801071	38.311056993038456	38.452738887329105	38.449370094776256	38.490491008389576	38.47232513958337	38.434139176074794	38.33912030163128	38.234274418664725	38.10861466769776	38.05750675725703	38.08895649566758	37.97125248975106	37.92145708309452	37.90631350472843	37.87348435443958	37.83852517512348	37.81507832155691	37.735189660994635	37.65653008327338	37.607861384077026	37.54001200404883	37.48328702632138	37.324207635434334	37.22680872614335	37.17013354397247	37.12281279442961	37.05017016908622	36.97291455834244	36.906880702889666	36.83411988538326	36.73760852566751	36.689276133880696	36.60952551945172	36.50636001699088	36.40447648774827	36.36002486179699	35.61513980247077	36.34196254633102	36.470979824275446	36.48311537621892	36.398235787336176	36.33867639298465	36.23591736147888	36.239911811105515	36.12747242702237	35.991194282279295	35.952207199289504	34.570446073736015
fastqc | MantonBM1_HiSeq_4_S4_L007_R2_001	30.629974602481884	30.900369419638483	34.37675101400609	35.155869104374915	35.32700767505396	38.46630830986161	38.49304467394131	38.65486436523108	38.581004418152304	38.64228354993919	38.63029730960153	38.572146692233744	38.47172399212453	38.32425167581677	38.26721267915082	38.21517908806116	38.238016201785484	38.12469610097839	38.060698740833814	37.99573100001483	38.02225119166703	38.02712467572026	37.94374833258301	37.876804853212086	37.81261433565842	37.73697719791973	37.68086168003934	37.56992721948072	37.450073993987296	37.41194551453603	37.32851356036447	37.26737026874736	37.15216561760994	37.11131581613252	37.017991688306566	36.92503038216799	36.86330358717983	36.75466524735407	36.69395039132	36.582173524839035	36.55334900954517	36.443764447783266	35.67993577319278	36.52155396316836	36.63179439201906	36.573363563286584	36.552299224713565	36.49530515186359	36.42184380990409	36.33149862231444	36.23075098389438	36.157342618663606	36.12448434405951	34.560883610961326
fastqc | MantonBM1_HiSeq_4_S4_L008_R2_001	30.641167815116024	30.88412265552319	34.3766604917965	35.098108980066634	35.309233585499186	38.415841355399195	38.450910371597146	38.59191641465013	38.606889210852536	38.62233212641499	38.62745525550555	38.59300289460792	38.497422049991926	38.40079723135189	38.28437415665948	38.220384228885976	38.240082060126554	38.13860762584939	38.08732619621344	38.070035318727506	38.03730520946122	38.00236867189105	37.98294661349027	37.90735689793405	37.83381827295808	37.79132237875426	37.71922131290545	37.66790802592188	37.521236807344835	37.42861870588008	37.376991059667134	37.33546462885473	37.266335628581714	37.193754895009654	37.130266963590635	37.06030553662037	36.96827584812648	36.923710346197716	36.843409682386074	36.74530192042339	36.64611252144846	36.60534362358733	35.861004722392536	36.586937345998265	36.71675800219636	36.73125740784022	36.649014064699706	36.59077011007102	36.49172740421106	36.49721957950423	36.38866461150264	36.25756215630804	36.222071165326255	34.85342225125414
fastqc | MantonBM1_HiSeq_5_S5_L007_R2_001	30.84366759974786	31.0658886370325	34.663662564144154	35.363916753258074	35.54438111410289	38.79647394580871	38.812152933187726	38.92284431540436	38.848420887313836	38.91392753342774	38.87472552144945	38.84111064637554	38.761510739406475	38.649241380386364	38.61872856235743	38.558142885812416	38.57209190242519	38.48124285626232	38.41882218480906	38.36479606362212	38.37691676345959	38.36450741225606	38.27856525071674	38.223561636037985	38.170887052369	38.103381149851046	38.05175135536523	37.94888920531675	37.831964621840655	37.80590263796538	37.72874610467249	37.669751289698354	37.56579736350055	37.52981313143826	37.441517249514504	37.351346218157886	37.29430410982931	37.193692507726354	37.13515584353349	37.029560193938465	37.006863560429004	36.89851028771094	36.13295117667588	36.96361995782746	37.07725688531366	37.026360210946706	37.00508255638243	36.95336727493685	36.87820784630041	36.798035017248694	36.702454355304276	36.63365533821572	36.60527425908944	35.06293698800088
